Question No.,L1,L2,L3,L4,Label,Title,Body,Gemini_Pred
1667278,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Parsing query strings on Android,"Java EE has
ServletRequest.getParameterValues()
.
On non-EE platforms,
URL.getQuery()
simply returns a string.
What's the normal way to properly parse the query string in a URL when
not
on Java EE?
It is popular in the answers to try and make your own parser.  This is very interesting and exciting micro-coding project, but
I cannot say that it is a good idea
.
The code snippets below are generally flawed or broken. Breaking them is an interesting exercise for the reader.
And to the hackers attacking the websites that use them
.
Parsing query strings is a well defined problem but reading the spec and understanding the nuances is non-trivial. It is far better to let some platform library coder do the hard work, and do the fixing, for you!",Intermediate
1673841,Intermediate,Intermediate,Advanced,Intermediate,Intermediate,Examples of GoF Design Patterns in Java&#39;s core libraries,"This question's answers are a
community effort
. Edit existing answers to improve this post. It is not currently accepting new answers or interactions.
I am learning GoF Java Design Patterns and I want to see some real life examples of them. What are some good examples of these Design Patterns in Java's core libraries?",Intermediate
1689242,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Conditionally ignoring tests in JUnit 4,"OK, so the
@Ignore
annotation is good for marking that a test case shouldn't be run.
However, sometimes I want to ignore a test based on runtime information.  An example might be if I have a concurrency test that needs to be run on a machine with a certain number of cores.  If this test were run on a uniprocessor machine, I don't think it would be correct to just pass the test (since it hasn't been run), and it certainly wouldn't be right to fail the test and break the build.
So I want to be able to ignore tests at runtime, as this seems like the right outcome (since the test framework will allow the build to pass but record that the tests weren't run).  I'm fairly sure that the annotation won't give me this flexibility, and suspect that I'll need to manually create the test suite for the class in question.  However, the documentation doesn't mention anything about this and looking through the
API
it's also not clear how this would be done programmatically (i.e. how do I programatically create an instance of
Test
or similar that is equivalent to that created by the
@Ignore
annotation?).
If anyone has done something similar in the past, or has a bright idea of how else I could go about this, I'd be happy to hear about it.",Intermediate
1706493,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,java.net.MalformedURLException: no protocol,"I am getting Java exception like:
java.net.MalformedURLException: no protocol
My program is trying to parse an XML string by using:
Document dom;
DocumentBuilderFactory dbf = DocumentBuilderFactory.newInstance();
DocumentBuilder db = dbf.newDocumentBuilder();
dom = db.parse(xml);
The XML string contains:
String xml = ""<?xml version=\""1.0\"" encoding=\""utf-8\""?>""+
    ""   <s:Envelope xmlns:s=\""http://schemas.xmlsoap.org/soap/envelope/\"">""+
    ""       <s:Header>""+
    ""           <ActivityId CorrelationId=\""15424263-3c01-4709-bec3-740d1ab15a38\"" xmlns=\""http://schemas.microsoft.com/2004/09/ServiceModel/Diagnostics\"">50d69ff9-8cf3-4c20-afe5-63a9047348ad</ActivityId>""+
    ""           <clalLog_CorrelationId xmlns=\""http://clalbit.co.il/clallog\"">eb791540-ad6d-48a3-914d-d74f57d88179</clalLog_CorrelationId>""+
    ""       </s:Header>""+
    ""       <s:Body>""+
    ""           <ValidatePwdAndIPResponse xmlns=\""http://tempuri.org/\"">""+
    ""           <ValidatePwdAndIPResult xmlns:a=\""http://schemas.datacontract.org/2004/07/ClalBit.ClalnetMediator.Contracts\"" xmlns:i=\""http://www.w3.org/2001/XMLSchema-instance\"">""+
    ""           <a:ErrorMessage>Valid User</a:ErrorMessage>""+
    ""           <a:FullErrorMessage i:nil=\""true\"" />""+
    ""           <a:IsSuccess>true</a:IsSuccess>""+
    ""           <a:SecurityToken>999993_310661843</a:SecurityToken>""+
    ""           </ValidatePwdAndIPResult>""+
    ""           </ValidatePwdAndIPResponse>""+
    ""       </s:Body>\n""+
    ""   </s:Envelope>\n"";
Any suggestions about what is causing this error?",Intermediate
1771679,Basic,Basic,Basic,Basic,Basic,Difference between thread&#39;s context class loader and normal classloader,"What is the difference between a thread's context class loader and a normal class loader?
That is, if
Thread.currentThread().getContextClassLoader()
and
getClass().getClassLoader()
return different class loader objects, which one will be used?",Basic
1802123,Basic,Basic,Basic,Basic,Basic,Can we convert a byte array into an InputStream in Java?,"Can we convert a byte array into an InputStream in Java? I have been looking on the internet but couldn't find it.
I have a method that has an InputStream as argument.
The InputStream
cph
I have is base64 encoded so I had to decode it using
BASE64Decoder decoder = new BASE64Decoder();
byte[] decodedBytes = decoder.decodeBuffer(cph);
Now how do I convert
decodedBytes
again to
InputStream
?",Basic
1813881,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java OCR implementation,"Closed.
This question is seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. It does not meet
Stack Overflow guidelines
. It is not currently accepting answers.
We don’t allow questions seeking recommendations for software libraries, tutorials, tools, books, or other off-site resources. You can edit the question so it can be answered with facts and citations.
Closed
8 years ago
.
Improve this question
This is primarily just curiosity, but are there any OCR implementations in pure Java? I'm curious how this would perform purely in Java, and OCR in general interests me, so I'd love to see how it's implemented in a language I thoroughly understand. Naturally, this would require that the implementation is open source, but I'm still interested in proprietary solutions, as I could at least check out the performance in that case.
I've seen a couple which can be used in Java (like
Asprise
) but it doesn't seem that these are pure Java implementations... are there any?",Intermediate
1829904,Intermediate,Basic,Intermediate,Intermediate,Intermediate,Is there a way to ignore a single FindBugs warning?,"With PMD, if you want to ignore a specific warning, you can use
// NOPMD
to have that line be ignored.
Is there something similar for FindBugs?",Intermediate
1833252,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Java Stanford NLP: Part of Speech labels?,"The Stanford NLP, demo'd
here
, gives an output like this:
Colorless/JJ green/JJ ideas/NNS sleep/VBP furiously/RB ./.
What do the Part of Speech tags mean? I am unable to find an official list. Is it Stanford's own system, or are they using universal tags? (What is
JJ
, for instance?)
Also, when I am iterating through the sentences, looking for nouns, for instance, I end up doing something like checking to see if the tag
.contains('N')
. This feels pretty weak. Is there a better way to programmatically search for a certain part of speech?",Intermediate
1835683,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,How to loop through a HashMap in JSP?,"How can I loop through a
HashMap
in JSP?
<%
    HashMap<String, String> countries = MainUtils.getCountries(l);
%>

<select name=""country"">
    <% 
        // Here I need to loop through countries.
    %>
</select>",Intermediate
1844688,Basic,Basic,Basic,Basic,Basic,How can I read all files in a folder from Java?,"Want to improve this post?
Provide detailed answers to this question, including citations and an explanation of why your answer is correct. Answers without enough detail may be edited or deleted.
How can I read all the files in a folder through Java? It doesn't matter which API.",Basic
