,Pred,Question No.,Question No.,L1,L2,L3,L4,Label,Title,Body,User_Reputation,Bronze_badge,Gold_badge,Silver_badge,Accept_rate,User Id,Accepted Answer ID,View Count,Answer Count,Score,Tags,Interval from first,Interval from accepted,Total count urls and imgs,Processed Body,Code Final,LOC,Question_Length
10,Basic,41107,41107,Basic,Basic,Basic,Basic,Basic,How to generate a random alpha-numeric string,"I've been looking for a
simple
Java algorithm to generate a pseudo-random alpha-numeric string.  In my situation it would be used as a unique session/key identifier that would ""likely"" be unique over
500K+
generation (my needs don't really require anything much more sophisticated).
Ideally, I would be able to specify a length depending on my uniqueness needs. For example, a generated string of length 12 might look something like
""AEYGF7K0DM1X""
.",3363,12,3,21,,3803,41156,1660492,46,1973,"[""java"", ""string"", ""random"", ""alphanumeric""]",3941,3941,0,"I've been looking for a simple Java algorithm to generate a pseudo-random alpha-numeric string. In my situation it would be used as a unique session/key identifier that would ""likely"" be unique over generation (my needs don't really require anything much more sophisticated). Ideally, I would be able to specify a length depending on my uniqueness needs. For example, a generated string of length 12 might look something like .","
   500K+
   
   ""AEYGF7K0DM1X""
  ",2,20
11,Intermediate,46898,46898,Basic,Intermediate,Intermediate,Basic,Basic,How do I efficiently iterate over each entry in a Java Map?,"If I have an object implementing the
Map
interface in Java and I wish to iterate over every pair contained within it,  what is the most efficient way of going through the map?
Will the ordering of elements depend on the specific map implementation that I have for the interface?",38721,19,3,22,43,4807,46908,3355994,45,3978,"[""java"", ""dictionary"", ""collections"", ""iteration""]",151,184,0,"If I have an object implementing the interface in Java and I wish to iterate over every pair contained within it, what is the most efficient way of going through the map? Will the ordering of elements depend on the specific map implementation that I have for the interface?","
   Map
  ",1,12
12,Intermediate,47045,47045,Basic,Basic,Basic,Basic,Basic,Sprintf equivalent in Java,Printf got added to Java with the 1.5 release but I can't seem to find how to send the output to a string rather than a file (which is what sprintf does in C). Does anyone know how to do this?,4105,12,2,23,,4498,47049,226015,5,309,"[""java"", ""string"", ""formatting""]",78,78,0,Printf got added to Java with the 1.5 release but I can't seem to find how to send the output to a string rather than a file (which is what sprintf does in C). Does anyone know how to do this?,,0,5
13,Intermediate,62289,62289,Basic,Basic,Basic,Basic,Basic,Read/write to Windows registry using Java,How is it possible to read/write to the Windows registry using Java?,,,,,,,,258803,25,343,"[""java"", ""registry""]",95,-1221481015,0,How is it possible to read/write to the Windows registry using Java?,,0,5
14,Intermediate,63150,63150,Intermediate,Intermediate,Basic,Basic,Basic,What&#39;s the best way to build a string of delimited items in Java?,"While working in a Java app, I recently needed to assemble a comma-delimited list of values to pass to another web service without knowing how many elements there would be in advance. The best I could come up with off the top of my head was something like this:
public String appendWithDelimiter( String original, String addition, String delimiter ) {
    if ( original.equals( """" ) ) {
        return addition;
    } else {
        return original + delimiter + addition;
    }
}

String parameterString = """";
if ( condition ) parameterString = appendWithDelimiter( parameterString, ""elementName"", "","" );
if ( anotherCondition ) parameterString = appendWithDelimiter( parameterString, ""anotherElementName"", "","" );
I realize this isn't particularly efficient, since there are strings being created all over the place, but I was going for clarity more than optimization.
In Ruby, I can do something like this instead, which feels much more elegant:
parameterArray = [];
parameterArray << ""elementName"" if condition;
parameterArray << ""anotherElementName"" if anotherCondition;
parameterString = parameterArray.join("","");
But since Java lacks a join command, I couldn't figure out anything equivalent.
So, what's the best way to do this in Java?",58527,55,13,49,90,2041950,63258,369589,37,374,"[""java"", ""string"", ""algorithm""]",154,651,0,"While working in a Java app, I recently needed to assemble a comma-delimited list of values to pass to another web service without knowing how many elements there would be in advance. The best I could come up with off the top of my head was something like this: I realize this isn't particularly efficient, since there are strings being created all over the place, but I was going for clarity more than optimization. In Ruby, I can do something like this instead, which feels much more elegant: But since Java lacks a join command, I couldn't figure out anything equivalent. So, what's the best way to do this in Java?","public String appendWithDelimiter( String original, String addition, String delimiter ) {
    if ( original.equals( """" ) ) {
        return addition;
    } else {
        return original + delimiter + addition;
    }
}

String parameterString = """";
if ( condition ) parameterString = appendWithDelimiter( parameterString, ""elementName"", "","" );
if ( anotherCondition ) parameterString = appendWithDelimiter( parameterString, ""anotherElementName"", "","" );
 parameterArray = [];
parameterArray &lt;&lt; ""elementName"" if condition;
parameterArray &lt;&lt; ""anotherElementName"" if anotherCondition;
parameterString = parameterArray.join("","");
",13,34
15,Intermediate,65035,65035,Basic,Basic,Basic,Basic,Basic,Does a finally block always get executed in Java?,"Considering this code, can I be
absolutely sure
that the
finally
block always executes, no matter what
something()
is?
try {  
    something();  
    return success;  
}  
catch (Exception e) {   
    return failure;  
}  
finally {  
    System.out.println(""I don't know if this will get printed out"");
}",27430,12,3,21,100,885027,65049,612614,52,2694,"[""java"", ""error-handling"", ""return"", ""try-catch-finally""]",105,105,0,"Considering this code, can I be absolutely sure that the block always executes, no matter what is?","
   finally
   
   something()
   try {  
    something();  
    return success;  
}  
catch (Exception e) {   
    return failure;  
}  
finally {  
    System.out.println(""I don't know if this will get printed out"");
}
",11,28
16,Basic,66066,66066,Basic,Basic,Basic,Basic,Basic,What is the best way to implement constants in Java?,"Closed
. This question is
opinion-based
. It is not currently accepting answers.
Closed
6 years ago
.
Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
I've seen examples like this:
public class MaxSeconds {
   public static final int MAX_SECONDS = 25;
}
and supposed that I could have a Constants class to wrap constants in, declaring them static final. I know practically no Java at all and am wondering if this is the best way to create constants.",26166,41,13,38,50,1797,66076,890569,28,370,"[""java"", ""constants""]",33,33,3,"Closed . This question is opinion-based . It is not currently accepting answers. Closed 6 years ago . Locked . This question and its answers are locked because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions. I've seen examples like this: and supposed that I could have a Constants class to wrap constants in, declaring them static final. I know practically no Java at all and am wondering if this is the best way to create constants.","public class MaxSeconds {
   public static final int MAX_SECONDS = 25;
}
",2,67
17,Intermediate,70324,70324,Basic,Basic,Basic,Basic,Basic,Java inner class and static nested class,What is the main difference between an inner class and a static nested class in Java? Does design / implementation play a role in choosing one of these?,27877,34,12,31,100,11193,70358,941790,28,2078,"[""java"", ""inner-classes"", ""static-classes""]",112,359,0,What is the main difference between an inner class and a static nested class in Java? Does design / implementation play a role in choosing one of these?,,0,5
18,Intermediate,70689,70689,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,What is an efficient way to implement a singleton pattern in Java?,"Closed
. This question needs to be more
focused
. It is not currently accepting answers.
Want to improve this question?
Update the question so it focuses on one problem only by
editing this post
.
Closed
5 years ago
.
Improve this question
What is an efficient way to implement a singleton design pattern in Java?",9535,33,5,27,33,11581,71399,336512,29,852,"[""java"", ""singleton"", ""design-patterns""]",535,7649,3,Closed . This question needs to be more focused . It is not currently accepting answers. Want to improve this question? Update the question so it focuses on one problem only by editing this post . Closed 5 years ago . Improve this question What is an efficient way to implement a singleton design pattern in Java?,,0,66
19,Basic,80476,80476,Basic,Basic,Basic,Basic,Basic,How can I concatenate two arrays in Java?,"I need to concatenate two
String
arrays in Java.
void f(String[] first, String[] second) {
    String[] both = ???
}
Which is the easiest way to do this?",19134,47,13,55,,2948,,1369042,66,1583,"[""java"", ""arrays"", ""concatenation"", ""addition""]",362,-1221632063,0,I need to concatenate two arrays in Java. Which is the easiest way to do this?,"
   String
   void f(String[] first, String[] second) {
    String[] both = ???
}
",3,16
20,Intermediate,81346,81346,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Most efficient way to increment a Map value in Java,"I hope this question is not considered too basic for this forum, but we'll see. I'm wondering how to refactor some code for better performance that is getting run a bunch of times.
Say I'm creating a word frequency list, using a Map (probably a HashMap), where each key is a String with the word that's being counted and the value is an Integer that's incremented each time a token of the word is found.
In Perl, incrementing such a value would be trivially easy:
$map{$word}++;
But in Java, it's much more complicated. Here the way I'm currently doing it:
int count = map.containsKey(word) ? map.get(word) : 0;
map.put(word, count + 1);
Which of course relies on the autoboxing feature in the newer Java versions. I wonder if you can suggest a more efficient way of incrementing such a value. Are there even good performance reasons for eschewing the Collections framework and using a something else instead?
Update: I've done a test of several of the answers. See below.",9574,13,4,19,,10204,107987,432395,28,517,"[""java"", ""optimization"", ""collections""]",446,269329,0,"I hope this question is not considered too basic for this forum, but we'll see. I'm wondering how to refactor some code for better performance that is getting run a bunch of times. Say I'm creating a word frequency list, using a Map (probably a HashMap), where each key is a String with the word that's being counted and the value is an Integer that's incremented each time a token of the word is found. In Perl, incrementing such a value would be trivially easy: But in Java, it's much more complicated. Here the way I'm currently doing it: Which of course relies on the autoboxing feature in the newer Java versions. I wonder if you can suggest a more efficient way of incrementing such a value. Are there even good performance reasons for eschewing the Collections framework and using a something else instead? Update: I've done a test of several of the answers. See below.","$map{$word}++;
 int count = map.containsKey(word) ? map.get(word) : 0;
map.put(word, count + 1);
",1,25
21,Advanced,88235,88235,Advanced,Intermediate,Advanced,Intermediate,Intermediate,Dealing with &quot;java.lang.OutOfMemoryError: PermGen space&quot; error,"Recently I ran into this error in my web application:
java.lang.OutOfMemoryError: PermGen space
It's a typical Hibernate/JPA + IceFaces/JSF application running on Tomcat 6 and JDK 1.6.
Apparently this can occur after redeploying an application a few times.
What causes it and what can be done to avoid it?
How do I fix the problem?",653,18,4,11,,16907,88262,1063845,34,1242,"[""exception"", ""memory-leaks"", ""out-of-memory"", ""java-6"", ""permgen""]",208,208,0,Recently I ran into this error in my web application: java.lang.OutOfMemoryError: PermGen space It's a typical Hibernate/JPA + IceFaces/JSF application running on Tomcat 6 and JDK 1.6. Apparently this can occur after redeploying an application a few times. What causes it and what can be done to avoid it? How do I fix the problem?,,0,18
22,Intermediate,94361,94361,Intermediate,Basic,Intermediate,Basic,Basic,When do you use Java&#39;s @Override annotation and why?,"Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
What are the best practices for using Java's
@Override
annotation and why?
It seems like it would be overkill to mark every single overridden method with the
@Override
annotation.   Are there certain programming situations that call for using the
@Override
and others that should never use the
@Override
?",24766,87,14,66,83,6180,94411,964038,27,498,"[""java"", ""annotations""]",82,293,2,Locked . This question and its answers are locked because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions. What are the best practices for using Java's annotation and why? It seems like it would be overkill to mark every single overridden method with the annotation. Are there certain programming situations that call for using the and others that should never use the ?,"
   @Override
   
   @Override
   
   @Override
   
   @Override
  ",4,52
23,Advanced,103564,103564,Intermediate,Basic,Intermediate,Basic,Basic,The performance impact of using instanceof in Java,"I am working on an application and one design approach involves extremely heavy use of the
instanceof
operator. While I know that OO design generally tries to avoid using
instanceof
, that is a different story and this question is purely related to performance. I was wondering if there is any performance impact? Is is just as fast as
==
?
For example, I have a base class with 10 subclasses. In a single function that takes the base class, I do checks for if the class is an instance of the subclass and carry out some routine.
One of the other ways I thought of solving it was to use a ""type id"" integer primitive instead, and use a bitmask to represent categories of the subclasses, and then just do a bit mask comparison of the subclasses ""type id"" to a constant mask representing the category.
Is
instanceof
somehow optimized by the JVM to be faster than that? I want to stick to Java but the performance of the app is critical. It would be cool if someone that has been down this road before could offer some advice. Am I nitpicking too much or focusing on the wrong thing to optimize?",18233,72,7,53,91,2204759,103600,144059,24,356,"[""java"", ""performance"", ""instanceof""]",273,273,0,"I am working on an application and one design approach involves extremely heavy use of the operator. While I know that OO design generally tries to avoid using , that is a different story and this question is purely related to performance. I was wondering if there is any performance impact? Is is just as fast as ? For example, I have a base class with 10 subclasses. In a single function that takes the base class, I do checks for if the class is an instance of the subclass and carry out some routine. One of the other ways I thought of solving it was to use a ""type id"" integer primitive instead, and use a bitmask to represent categories of the subclasses, and then just do a bit mask comparison of the subclasses ""type id"" to a constant mask representing the category. Is somehow optimized by the JVM to be faster than that? I want to stick to Java but the performance of the app is critical. It would be cool if someone that has been down this road before could offer some advice. Am I nitpicking too much or focusing on the wrong thing to optimize?","
   instanceof
   
   instanceof
   
   ==
   
   instanceof
  ",4,30
24,Advanced,104799,104799,Basic,Basic,Basic,Basic,Basic,Why aren&#39;t Java Collections remove methods generic?,"This question already has answers here
:
What are the reasons why Map.get(Object key) is not (fully) generic
(11 answers)
Closed
1 year ago
.
Why isn't
Collection.remove(Object o)
generic?
Seems like
Collection<E>
could have
boolean remove(E o);
Then, when you accidentally try to remove (for example)
Set<String>
instead of each individual String from a
Collection<String>
, it would be a compile time error instead of a debugging problem later.",5827,15,5,23,,15816,105812,20318,10,153,"[""java"", ""generics"", ""collections""]",117,7542,1,"This question already has answers here : What are the reasons why Map.get(Object key) is not (fully) generic (11 answers) Closed 1 year ago . Why isn't Collection.remove(Object o) generic? Seems like could have Then, when you accidentally try to remove (for example) instead of each individual String from a , it would be a compile time error instead of a debugging problem later.","
   Collection&lt;E&gt;
   
   boolean remove(E o);
   
   Set&lt;String&gt;
   
   Collection&lt;String&gt;
  ",4,63
25,Advanced,106591,106591,Basic,Basic,Basic,Basic,Basic,What is the volatile keyword useful for?,"At work today, I came across the
volatile
keyword in Java. Not being very familiar with it, I found
this explanation
.
Given the detail in which that article explains the keyword in question, do you ever use it or could you ever see a case in which you could use this keyword in the correct manner?",10112,32,4,27,70,16759,106787,355064,25,814,"[""java"", ""multithreading"", ""keyword"", ""volatile""]",1106,5329,1,"At work today, I came across the keyword in Java. Not being very familiar with it, I found this explanation . Given the detail in which that article explains the keyword in question, do you ever use it or could you ever see a case in which you could use this keyword in the correct manner?","
   volatile
  ",1,16
26,Intermediate,109383,109383,Basic,Basic,Basic,Basic,Basic,"Sort a Map&lt;Key, Value&gt; by values","I need to sort a
Map<Key, Value>
on the values.
Since the values are not unique, I find myself converting the
keySet
into an
array
, and sorting that array through
array sort
with a
custom comparator
that sorts on the value associated with the key.
Is there an easier way?",2463,16,4,19,,9466,,1774143,65,1885,"[""java"", ""sorting"", ""dictionary"", ""collections""]",191,-1221944603,0,"I need to sort a on the values. Since the values are not unique, I find myself converting the into an , and sorting that array through array sort with a custom comparator that sorts on the value associated with the key. Is there an easier way?","
   Map&lt;Key, Value&gt;
   
   keySet
   
   array
  ",3,31
27,Advanced,113511,113511,Intermediate,Advanced,Advanced,Intermediate,Intermediate,Best implementation for hashCode method for a collection,"How do we decide on the best implementation of
hashCode()
method for a collection (assuming that equals method has been overridden correctly) ?",27877,34,12,31,100,11193,113600,280311,20,327,"[""java"", ""hash"", ""equals"", ""hashcode""]",439,1718,0,How do we decide on the best implementation of method for a collection (assuming that equals method has been overridden correctly) ?,"
   hashCode()
  ",1,9
28,Basic,122105,122105,Basic,Basic,Basic,Basic,Basic,How to filter a Java Collection (based on predicate)?,"I want to filter a
java.util.Collection
based on a predicate.",14766,52,11,43,50,4792,1385698,871843,30,769,"[""java"", ""collections"", ""filter""]",137,30057083,0,I want to filter a based on a predicate.,"
   java.util.Collection
  ",1,9
29,Intermediate,124671,124671,Basic,Basic,Basic,Basic,Basic,Picking a random element from a set,"How do I pick a random element from a set?
I'm particularly interested in picking a random element from a
HashSet or a LinkedHashSet, in Java.",3155,10,2,21,,21445,124693,262383,34,216,"[""java"", ""algorithm"", ""random"", ""set""]",208,291,0,"How do I pick a random element from a set? I'm particularly interested in picking a random element from a HashSet or a LinkedHashSet, in Java.",,0,7
30,Intermediate,1135248,129178,Basic,Basic,Basic,Basic,Basic,Difference between int[] array and int array[],"I have recently been thinking about the difference between the two ways of defining an array:
int[] array
int array[]
Is there a difference?",5126,78,9,47,91,21199,129188,107805,26,265,"[""java"", ""arrays""]",113,113,0,I have recently been thinking about the difference between the two ways of defining an array: Is there a difference?,"
    int[] array
    
    int array[]
   ",2,20
31,Intermediate,1146153,139076,Basic,Basic,Basic,Basic,Basic,How to pretty print XML from Java?,"I have a Java String that contains XML, with no line feeds or indentations. I would like to turn it into a String with nicely formatted XML. How do I do this?
String unformattedXml = ""<tag><nested>hello</nested></tag>"";
String formattedXml = new [UnknownClass]().format(unformattedXml);
Note: My input is a
String
. My output is a
String
.
(Basic) mock result:
<?xml version=""1.0"" encoding=""UTF-8""?>
<root>
  <tag>
    <nested>hello</nested>
  </tag>
</root>",52050,185,47,128,67,2959,11519668,555626,34,500,"[""java"", ""xml"", ""pretty-print""]",330,120085687,0,"I have a Java String that contains XML, with no line feeds or indentations. I would like to turn it into a String with nicely formatted XML. How do I do this? Note: My input is a String . My output is a String . (Basic) mock result:","String unformattedXml = ""&lt;tag&gt;&lt;nested&gt;hello&lt;/nested&gt;&lt;/tag&gt;"";
String formattedXml = new [UnknownClass]().format(unformattedXml);
 &lt;?xml version=""1.0"" encoding=""UTF-8""?&gt;
&lt;root&gt;
  &lt;tag&gt;
    &lt;nested&gt;hello&lt;/nested&gt;
  &lt;/tag&gt;
&lt;/root&gt;
",6,29
32,Advanced,1163173,141284,Basic,Basic,Basic,Basic,Basic,The difference between the Runnable and Callable interfaces in Java,"What is the difference between using the
Runnable
and
Callable
interfaces when designing a concurrent thread in Java, why would you choose one over the other?",7074,35,8,33,65,22061,141303,364951,14,568,"[""java"", ""multithreading"", ""interface"", ""runnable"", ""callable""]",100,100,0,"What is the difference between using the and interfaces when designing a concurrent thread in Java, why would you choose one over the other?","
   Runnable
   
   Callable
  ",2,13
33,Intermediate,1205995,145110,Intermediate,Intermediate,Basic,Basic,Basic,C++ performance vs. Java/C#,"Locked
. This question and its answers are
locked
because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions.
My understanding is that C/C++ produces native code to run on a particular machine architecture.  Conversely, languages like Java and C# run on top of a virtual machine which abstracts away the native architecture.  Logically it would seem impossible for Java or C# to match the speed of C++ because of this intermediate step, however I've been told that the latest compilers (""hot spot"") can attain this speed or even exceed it.
Perhaps this is more of a compiler question than a language question, but can anyone explain in plain English how it is possible for one of these virtual machine languages to perform better than a native language?",2051,16,5,18,,23126,145122,443934,31,119,"[""c#"", ""java"", ""c++"", ""performance"", ""bytecode""]",274,295,2,"Locked . This question and its answers are locked because the question is off-topic but has historical significance. It is not currently accepting new answers or interactions. My understanding is that C/C++ produces native code to run on a particular machine architecture. Conversely, languages like Java and C# run on top of a virtual machine which abstracts away the native architecture. Logically it would seem impossible for Java or C# to match the speed of C++ because of this intermediate step, however I've been told that the latest compilers (""hot spot"") can attain this speed or even exceed it. Perhaps this is more of a compiler question than a language question, but can anyone explain in plain English how it is possible for one of these virtual machine languages to perform better than a native language?",,0,36
34,Advanced,1217228,146576,Intermediate,Basic,Intermediate,Basic,Intermediate,Why is the Java main method static?,"The method signature of a Java
main
method is:
public static void main(String[] args) {
    ...
}
Is there a reason why this method must be static?",7467,36,12,38,85,2937,146662,522889,37,542,"[""java"", ""static"", ""program-entry-point""]",122,2580,0,The method signature of a Java method is: Is there a reason why this method must be static?,"
   main
   public static void main(String[] args) {
    ...
}
",3,16
